vendor_id,quarter,segment,tier,composite,accel_flag,stall_flag,jobs_pct,web_pct,spend_pct,jobs_present,web_present,spend_present
V0001,2023Q1,devtools,C,50.0,False,False,,,,False,False,True
V0001,2023Q2,devtools,C,73.11320754716982,False,False,,,96.22641509433963,False,False,True
V0001,2023Q3,devtools,C,73.07692307692308,False,False,,,96.15384615384616,False,False,True
V0001,2023Q4,devtools,C,32.69230769230769,False,True,,,15.384615384615385,False,False,True
V0001,2024Q1,devtools,C,51.470588235294116,False,False,,,52.94117647058824,False,False,True
V0001,2024Q2,devtools,C,38.72549019607843,False,False,,,27.450980392156865,False,False,True
V0001,2024Q3,devtools,C,39.0,False,False,,,28.000000000000004,False,False,True
V0001,2024Q4,devtools,C,29.0,False,False,,,8.0,False,False,True
V0001,2025Q1,devtools,C,65.0,True,False,,,80.0,False,False,True
V0001,2025Q2,devtools,C,32.0,False,True,,,14.000000000000002,False,False,True
V0001,2025Q3,devtools,C,73.0,True,False,,,96.0,False,False,True
V0001,2025Q4,devtools,C,35.0,False,True,,,20.0,False,False,True
V0002,2023Q1,devtools,B,50.0,False,False,,,,False,True,True
V0002,2023Q2,devtools,B,55.711175616835995,False,False,,11.25,75.47169811320755,False,True,True
V0002,2023Q3,devtools,B,47.04329263725563,False,False,,62.0253164556962,40.38461538461539,False,True,True
V0002,2023Q4,devtools,B,39.15437045914163,False,False,,49.36708860759494,34.61538461538461,False,True,True
V0002,2024Q1,devtools,B,42.67316394013226,False,False,,76.92307692307693,27.450980392156865,False,True,True
V0002,2024Q2,devtools,B,25.010283833813247,False,True,,63.63636363636363,7.8431372549019605,False,True,True
V0002,2024Q3,devtools,B,65.1417004048583,True,False,,9.210526315789473,90.0,False,True,True
V0002,2024Q4,devtools,B,29.10121457489879,False,True,,31.57894736842105,28.000000000000004,False,True,True
V0002,2025Q1,devtools,B,43.506072874493924,False,False,,82.89473684210526,26.0,False,True,True
V0002,2025Q2,devtools,B,58.412955465587046,True,False,,36.84210526315789,68.0,False,True,True
V0002,2025Q3,devtools,B,63.07692307692307,False,False,,88.0,52.0,False,True,True
V0002,2025Q4,devtools,B,84.66666666666666,True,False,,90.66666666666666,82.0,False,True,True
V0003,2023Q1,devtools,A,50.0,False,False,,,,True,True,True
V0003,2023Q2,devtools,A,35.29753265602322,False,False,,85.0,13.20754716981132,True,True,True
V0003,2023Q3,devtools,A,26.591641075574863,False,True,,21.518987341772153,28.846153846153843,True,True,True
V0003,2023Q4,devtools,A,61.71992821720522,True,False,62.7906976744186,12.658227848101266,82.6923076923077,True,True,True
V0003,2024Q1,devtools,B,13.953488372093023,False,True,13.953488372093023,,,True,False,True
V0003,2024Q2,devtools,C,26.162790697674417,False,False,2.3255813953488373,,,True,False,False
V0003,2024Q3,devtools,C,27.325581395348838,False,False,4.651162790697675,,,True,False,False
V0003,2024Q4,devtools,C,38.372093023255815,False,False,26.744186046511626,,,True,False,False
V0003,2025Q1,devtools,C,38.372093023255815,False,False,26.744186046511626,,,True,False,False
V0003,2025Q2,devtools,C,37.20930232558139,False,False,24.418604651162788,,,True,False,False
V0003,2025Q3,devtools,C,35.46511627906977,False,False,20.930232558139537,,,True,False,False
V0003,2025Q4,devtools,C,34.883720930232556,False,False,19.767441860465116,,,True,False,False
V0004,2023Q1,devtools,C,50.0,False,False,,,,False,True,False
V0004,2023Q2,devtools,C,61.25,False,False,,72.5,,False,True,False
V0004,2023Q3,devtools,C,64.24050632911391,False,False,,78.48101265822784,,False,True,False
V0004,2023Q4,devtools,C,53.481012658227854,False,False,,56.9620253164557,,False,True,False
V0004,2024Q1,devtools,C,35.8974358974359,False,True,,21.794871794871796,,False,True,False
V0004,2024Q2,devtools,C,46.42857142857143,False,False,,42.857142857142854,,False,True,False
V0004,2024Q3,devtools,C,58.55263157894737,True,False,,67.10526315789474,,False,True,False
V0004,2024Q4,devtools,C,30.921052631578945,False,True,,11.842105263157894,,False,True,False
V0004,2025Q1,devtools,C,62.5,True,False,,75.0,,False,True,False
V0004,2025Q2,devtools,C,50.65789473684211,False,False,,51.31578947368421,,False,True,False
V0004,2025Q3,devtools,C,51.66666666666667,False,False,,53.333333333333336,,False,True,False
V0004,2025Q4,devtools,C,73.66666666666667,True,False,,97.33333333333334,,False,True,False
V0005,2023Q1,devtools,C,50.0,False,False,,,,False,True,False
V0005,2023Q2,devtools,C,46.875,False,False,,43.75,,False,True,False
V0005,2023Q3,devtools,C,66.77215189873417,True,False,,83.54430379746836,,False,True,False
V0005,2023Q4,devtools,C,42.088607594936704,False,False,,34.177215189873415,,False,True,False
V0005,2024Q1,devtools,C,32.05128205128205,False,True,,14.102564102564102,,False,True,False
V0005,2024Q2,devtools,C,41.23376623376623,False,False,,32.467532467532465,,False,True,False
V0005,2024Q3,devtools,C,42.10526315789474,False,False,,34.21052631578947,,False,True,False
V0005,2024Q4,devtools,C,65.13157894736842,True,False,,80.26315789473685,,False,True,False
V0005,2025Q1,devtools,C,74.34210526315789,True,False,,98.68421052631578,,False,True,False
V0005,2025Q2,devtools,C,42.10526315789474,False,True,,34.21052631578947,,False,True,False
V0005,2025Q3,devtools,C,63.0,False,False,,76.0,,False,True,False
V0005,2025Q4,devtools,C,61.666666666666664,False,False,,73.33333333333333,,False,True,False
V0006,2023Q1,devtools,B,50.0,False,False,,,,False,True,True
V0006,2023Q2,devtools,B,26.29898403483309,False,False,,60.0,11.320754716981133,False,True,True
V0006,2023Q3,devtools,B,27.915511946670662,False,False,,73.41772151898735,7.6923076923076925,False,True,True
V0006,2023Q4,devtools,B,18.114747958954386,False,False,,32.91139240506329,11.538461538461538,False,True,True
V0006,2024Q1,devtools,B,35.909038171481605,False,False,,6.41025641025641,49.01960784313725,False,True,True
V0006,2024Q2,devtools,B,17.899747311512016,False,False,,49.35064935064935,3.9215686274509802,False,True,True
V0006,2024Q3,devtools,B,22.307692307692307,False,False,,50.0,10.0,False,True,True
V0006,2024Q4,devtools,B,39.473684210526315,False,False,,15.789473684210526,50.0,False,True,True
V0006,2025Q1,devtools,B,15.149797570850202,False,True,,44.73684210526316,2.0,False,True,True
V0006,2025Q2,devtools,B,21.538461538461537,False,False,,25.0,20.0,False,True,True
V0006,2025Q3,devtools,B,11.333333333333334,False,False,,5.333333333333334,14.000000000000002,False,True,True
V0006,2025Q4,devtools,B,85.8974358974359,True,False,,58.666666666666664,98.0,False,True,True
V0007,2023Q1,devtools,C,50.0,False,False,,,,False,True,False
V0007,2023Q2,devtools,C,42.5,False,False,,35.0,,False,True,False
V0007,2023Q3,devtools,C,40.822784810126585,False,False,,31.645569620253166,,False,True,False
V0007,2023Q4,devtools,C,57.91139240506329,True,False,,65.82278481012658,,False,True,False
V0007,2024Q1,devtools,C,46.15384615384615,False,False,,42.30769230769231,,False,True,False
V0007,2024Q2,devtools,C,65.9090909090909,False,False,,81.81818181818183,,False,True,False
V0007,2024Q3,devtools,C,38.15789473684211,False,True,,26.31578947368421,,False,True,False
V0007,2024Q4,devtools,C,51.973684210526315,False,False,,53.94736842105263,,False,True,False
V0007,2025Q1,devtools,C,52.631578947368425,False,False,,55.26315789473685,,False,True,False
V0007,2025Q2,devtools,C,67.76315789473684,True,False,,85.52631578947368,,False,True,False
V0007,2025Q3,devtools,C,30.333333333333336,False,True,,10.666666666666668,,False,True,False
V0007,2025Q4,devtools,C,72.33333333333333,True,False,,94.66666666666667,,False,True,False
V0008,2023Q1,devtools,A,50.0,False,False,,,,True,True,True
V0008,2023Q2,devtools,A,60.56603773584905,False,False,,52.5,64.15094339622641,True,True,True
V0008,2023Q3,devtools,A,48.629316156093175,False,False,,97.46835443037975,26.923076923076923,True,True,True
V0008,2023Q4,devtools,A,12.767062566517966,False,True,32.55813953488372,2.5316455696202533,1.9230769230769231,True,True,True
V0008,2024Q1,devtools,A,57.804816023010275,True,False,36.04651162790697,93.58974358974359,58.82352941176471,True,True,True
V0008,2024Q2,devtools,A,60.408620107662514,True,False,74.4186046511628,12.987012987012985,70.58823529411765,True,True,True
V0008,2024Q3,devtools,A,74.2391676866585,True,False,83.72093023255815,98.68421052631578,56.00000000000001,True,True,True
V0008,2024Q4,devtools,A,55.81199510403917,False,False,58.139534883720934,51.31578947368421,56.00000000000001,True,True,True
