mlbam_id,group,season,sport_id,team_name,league_name,atBats,baseOnBalls,caughtStealing,doubles,gamesPlayed,hitByPitch,hits,homeRuns,intentionalWalks,plateAppearances,runs,sacFlies,stolenBases,triples,game_date
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,2,0,0,5,1,0,0,0,2021-05-04
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,2,1,0,5,2,0,1,0,2021-05-05
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,2,1,0,4,1,0,0,0,2021-05-06
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,2,0,0,1,0,1,0,0,6,1,0,0,0,2021-05-07
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,1,1,0,1,0,3,2,0,6,3,0,0,0,2021-05-08
660644,hitting,2021,11,Durham Bulls,Triple-A East,1,1,0,0,1,0,0,0,0,2,0,0,0,0,2021-05-09
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,1,0,0,5,0,0,0,0,2021-05-11
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,1,0,0,4,0,0,0,0,2021-05-13
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,1,0,0,4,1,0,1,0,2021-05-13
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,1,0,1,1,0,1,0,0,4,1,0,0,0,2021-05-14
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,2,0,0,1,0,1,1,0,6,2,0,1,0,2021-05-15
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,0,0,0,5,0,0,0,0,2021-05-16
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,1,0,0,4,1,0,0,0,2021-05-18
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,3,1,0,5,1,0,1,0,2021-05-19
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,1,0,0,5,1,0,3,0,2021-05-20
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,2,1,0,5,1,0,0,0,2021-05-22
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,1,0,0,0,2021-05-23
660644,hitting,2021,11,Durham Bulls,Triple-A East,6,0,0,2,1,0,3,0,0,6,2,0,1,0,2021-05-25
660644,hitting,2021,11,Durham Bulls,Triple-A East,2,2,0,0,1,0,0,0,0,4,1,0,1,0,2021-05-26
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,1,0,0,5,0,0,0,0,2021-05-27
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,2,0,0,5,0,0,0,0,2021-05-29
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,1,0,0,1,0,0,0,0,4,0,0,0,0,2021-05-30
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,1,0,1,0,0,0,0,5,0,0,0,0,2021-06-01
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,2,0,0,5,3,0,2,0,2021-06-02
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,1,0,0,4,1,0,1,0,2021-06-03
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,1,1,0,1,0,0,5,1,0,1,0,2021-06-05
660644,hitting,2021,11,Durham Bulls,Triple-A East,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2021-06-06
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,1,1,0,1,0,0,4,1,0,0,0,2021-06-08
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,1,0,1,1,0,1,0,0,5,1,1,1,0,2021-06-09
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,1,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-10
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,1,1,0,1,0,0,5,0,0,0,0,2021-06-11
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-13
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-15
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,0,0,1,0,0,0,0,5,1,0,0,0,2021-06-16
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-18
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,3,1,0,5,2,0,0,0,2021-06-19
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,1,1,0,2,1,0,5,2,0,0,0,2021-06-20
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-22
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,0,0,0,5,0,0,0,0,2021-06-23
660644,hitting,2021,11,Durham Bulls,Triple-A East,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2021-06-24
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,0,0,0,5,0,0,0,0,2021-06-25
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,5,0,0,0,0,2021-06-26
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,0,1,0,1,0,0,5,1,0,0,1,2021-06-27
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,2,0,2,1,0,3,0,0,5,1,0,0,0,2021-06-29
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-06-30
660644,hitting,2021,11,Durham Bulls,Triple-A East,3,1,1,0,1,0,1,0,0,4,1,0,0,0,2021-07-01
660644,hitting,2021,11,Durham Bulls,Triple-A East,5,0,0,1,1,0,2,0,0,5,0,0,0,0,2021-07-02
660644,hitting,2021,11,Durham Bulls,Triple-A East,4,1,1,0,1,0,2,0,0,5,0,0,0,0,2021-07-03
660644,hitting,2021,11,Durham Bulls,Triple-A East,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2021-07-04
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,3,1,0,0,1,0,1,1,0,4,1,0,1,0,2021-09-22
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-09-23
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,4,1,0,0,1,0,3,1,0,5,3,0,0,0,2021-09-24
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,3,3,0,0,1,0,2,1,0,6,4,0,0,0,2021-09-26
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,5,0,0,1,1,0,4,1,0,5,2,0,0,0,2021-09-29
665833,hitting,2021,11,Indianapolis Indians,Triple-A East,2,3,0,0,1,0,1,1,0,5,1,0,0,0,2021-09-30
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,4,0,0,0,1,0,2,0,0,4,1,0,0,0,2021-05-04
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,5,0,0,0,1,0,0,0,0,5,0,0,0,0,2021-05-05
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,3,0,0,0,1,0,0,0,0,3,0,0,0,0,2021-05-06
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,5,0,0,1,1,0,2,0,0,5,0,0,0,0,2021-05-07
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,4,0,0,0,1,0,1,1,0,4,1,0,0,0,2021-05-11
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,3,2,0,0,1,0,1,1,0,5,2,0,0,0,2021-05-12
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,6,0,0,0,1,0,2,0,0,6,1,0,0,1,2021-05-13
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,5,0,0,1,1,0,1,0,0,5,0,0,0,0,2021-05-14
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,4,0,0,0,1,0,1,0,0,4,0,0,0,0,2021-05-18
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,4,0,0,0,1,0,0,0,0,4,0,0,0,0,2021-05-19
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,3,2,0,1,1,0,1,0,0,5,1,0,0,0,2021-05-20
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,3,1,0,0,1,0,0,0,0,4,1,0,1,0,2021-05-21
665833,hitting,2021,12,Altoona Curve,Double-A Northeast,4,0,1,0,1,1,2,0,0,5,0,0,0,0,2021-05-22
